Yr,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,Phil Ford,PG,23,KCK,82,,32.0,6.0,12.9,.462,0.0,0.3,.174,5.9,12.6,.469,.464,4.2,5.2,.818,0.4,1.7,2.1,7.4,1.7,0.0,3.4,2.5,16.2
1980,Walt Frazier*,PG,34,CLE,3,,9.0,1.3,3.7,.364,0.0,0.3,.000,1.3,3.3,.400,.364,0.7,0.7,1.000,0.3,0.7,1.0,2.7,0.7,0.3,1.3,0.7,3.3
1980,World B. Free,SG,26,SDC,68,,38.0,10.8,22.9,.474,0.1,0.4,.360,10.7,22.5,.476,.477,8.4,11.2,.753,1.9,1.6,3.5,4.2,1.2,0.5,3.4,2.9,30.2
1980,Terry Furlow,SG,25,TOT,76,,27.9,5.7,12.2,.464,0.3,1.1,.293,5.3,11.1,.481,.477,2.3,2.6,.872,0.9,1.6,2.6,3.9,1.0,0.3,2.1,1.3,13.9
1980,Terry Furlow,SG,25,ATL,21,,19.2,3.1,7.7,.410,0.0,0.4,.111,3.1,7.2,.428,.413,2.1,2.4,.863,1.1,0.9,2.0,3.4,0.9,0.4,1.6,0.9,8.4
1980,Terry Furlow,SG,25,UTA,55,,31.2,6.6,13.9,.476,0.4,1.3,.315,6.2,12.6,.493,.491,2.3,2.6,.876,0.9,1.9,2.8,4.0,1.0,0.3,2.3,1.4,16.0
1980,Mike Gale,PG,29,SAS,67,,22.0,2.6,5.6,.454,0.0,0.2,.154,2.5,5.4,.464,.456,1.4,1.8,.808,0.5,1.8,2.3,4.7,1.8,0.2,1.7,2.0,6.6
1980,Gary Garland,PG,22,DEN,78,,14.2,2.0,4.6,.435,0.1,0.2,.316,1.9,4.3,.442,.444,0.2,0.3,.692,0.6,1.1,1.8,1.9,0.7,0.1,0.9,1.0,4.3
1980,Gus Gerard,SF,26,KCK,73,,11.9,2.2,4.8,.457,0.0,0.0,.333,2.2,4.7,.458,.458,0.9,1.4,.660,1.1,1.4,2.4,0.6,0.6,0.4,0.7,1.3,5.3
1980,George Gervin*,SG,27,SAS,78,,37.6,13.1,24.9,.528,0.4,1.3,.314,12.7,23.6,.540,.536,6.5,7.6,.852,2.0,3.2,5.2,2.6,1.4,1.0,3.3,2.7,33.1
1980,John Gianelli,C,29,UTA,17,,16.8,1.4,3.9,.348,0.0,0.0,,1.4,3.9,.348,.348,0.5,0.9,.563,0.8,2.8,3.6,1.0,0.4,0.4,1.3,1.5,3.2
