Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1999,Toronto Raptors,23,27,0.46,10.0,91.1,92.8,-1.32,N,Y
1999,Cleveland Cavaliers,22,28,0.44,11.0,86.4,88.2,-0.94,N,Y
1999,Chicago Bulls,13,37,0.26,20.0,81.9,91.4,-8.58,N,Y
1999,San Antonio Spurs,37,13,0.74,—,92.8,84.7,7.12,Y,N
1999,Utah Jazz,37,13,0.74,—,93.3,86.8,5.54,Y,N
1999,Houston Rockets,31,19,0.62,6.0,94.2,91.9,1.39,Y,N
1999,Minnesota Timberwolves,25,25,0.5,12.0,92.9,92.6,-0.17,Y,N
1999,Dallas Mavericks,19,31,0.38,18.0,91.6,94.0,-2.5,N,Y
1999,Denver Nuggets,14,36,0.28,23.0,93.5,100.1,-6.67,N,Y
1999,Vancouver Grizzlies,8,42,0.16,29.0,88.9,97.5,-8.94,N,Y
1999,Portland Trail Blazers,35,15,0.7,—,94.8,88.5,5.67,Y,N
1999,Los Angeles Lakers,31,19,0.62,4.0,99.0,96.0,2.68,Y,N
1999,Phoenix Suns,27,23,0.54,8.0,95.6,93.3,2.15,Y,N
1999,Sacramento Kings,27,23,0.54,8.0,100.2,100.6,-0.89,Y,N
1999,Seattle SuperSonics,25,25,0.5,10.0,94.9,95.9,-1.43,N,N
1999,Golden State Warriors,21,29,0.42,14.0,88.3,90.8,-2.63,N,Y
1999,Los Angeles Clippers,9,41,0.18,26.0,90.4,99.2,-8.94,N,Y
2000,Miami Heat,52,30,0.634,—,94.4,91.3,2.75,Y,N
2000,New York Knicks,50,32,0.61,2.0,92.1,90.7,1.3,Y,N
2000,Philadelphia 76ers,49,33,0.598,3.0,94.8,93.4,1.02,Y,N
2000,Orlando Magic,41,41,0.5,11.0,100.1,99.4,0.43,N,N
2000,Boston Celtics,35,47,0.42700000000000005,17.0,99.3,100.1,-1.0,N,Y
2000,New Jersey Nets,31,51,0.37799999999999995,21.0,98.0,99.0,-1.18,N,Y
2000,Washington Wizards,29,53,0.354,23.0,96.6,99.9,-3.47,N,Y
2000,Indiana Pacers,56,26,0.6829999999999999,—,101.3,96.7,4.15,Y,N
2000,Charlotte Hornets,49,33,0.598,7.0,98.4,95.8,2.33,Y,N
2000,Toronto Raptors,45,37,0.5489999999999999,11.0,97.2,97.3,-0.46,Y,N
2000,Detroit Pistons,42,40,0.512,14.0,103.5,102.0,1.13,Y,N
2000,Milwaukee Bucks,42,40,0.512,14.0,101.2,101.0,-0.06,Y,N
2000,Cleveland Cavaliers,32,50,0.39,24.0,97.0,100.5,-3.64,N,Y
2000,Atlanta Hawks,28,54,0.341,28.0,94.3,99.7,-5.41,N,Y
2000,Chicago Bulls,17,65,0.207,39.0,84.8,94.2,-9.23,N,Y
2000,Utah Jazz,55,27,0.6709999999999999,—,96.5,92.0,4.52,Y,N
2000,San Antonio Spurs,53,29,0.6459999999999999,2.0,96.2,90.2,5.92,Y,N
2000,Minnesota Timberwolves,50,32,0.61,5.0,98.5,96.0,2.67,Y,N
2000,Dallas Mavericks,40,42,0.488,15.0,101.4,102.0,-0.29,N,Y
2000,Denver Nuggets,35,47,0.42700000000000005,20.0,99.0,101.1,-1.76,N,Y
2000,Houston Rockets,34,48,0.415,21.0,99.5,100.3,-0.57,N,Y
2000,Vancouver Grizzlies,22,60,0.268,33.0,93.9,99.5,-5.1,N,Y
2000,Los Angeles Lakers,67,15,0.8170000000000001,—,100.8,92.3,8.41,Y,N
2000,Portland Trail Blazers,59,23,0.72,8.0,97.5,91.0,6.36,Y,N
2000,Phoenix Suns,53,29,0.6459999999999999,14.0,98.9,93.7,5.24,Y,N
2000,Seattle SuperSonics,45,37,0.5489999999999999,22.0,99.1,98.1,1.17,Y,N
2000,Sacramento Kings,44,38,0.537,23.0,105.0,102.0,3.04,Y,N
2000,Golden State Warriors,19,63,0.23199999999999998,48.0,95.5,103.8,-7.63,N,Y
2000,Los Angeles Clippers,15,67,0.183,52.0,92.0,103.5,-10.73,N,Y
2001,Philadelphia 76ers,56,26,0.6829999999999999,—,94.7,90.4,3.64,Y,N
2001,Miami Heat,50,32,0.61,6.0,88.9,86.6,1.73,Y,N
2001,New York Knicks,48,34,0.585,8.0,88.7,86.1,1.98,Y,N
2001,Orlando Magic,43,39,0.524,13.0,97.5,96.5,0.39,Y,N
2001,Boston Celtics,36,46,0.439,20.0,94.6,96.8,-2.4,N,Y
2001,New Jersey Nets,26,56,0.317,30.0,92.1,97.1,-5.3,N,Y
2001,Washington Wizards,19,63,0.23199999999999998,37.0,93.2,99.9,-6.75,N,Y
2001,Milwaukee Bucks,52,30,0.634,—,100.7,96.9,3.14,Y,N
2001,Toronto Raptors,47,35,0.573,5.0,97.6,95.4,1.69,Y,N
2001,Charlotte Hornets,46,36,0.561,6.0,91.9,89.8,1.45,Y,N
2001,Indiana Pacers,41,41,0.5,11.0,92.6,92.8,-0.77,Y,N
2001,Detroit Pistons,32,50,0.39,20.0,95.6,97.3,-2.08,N,Y
2001,Cleveland Cavaliers,30,52,0.366,22.0,92.2,96.5,-4.48,N,Y
2001,Atlanta Hawks,25,57,0.305,27.0,91.0,96.2,-5.55,N,Y
2001,Chicago Bulls,15,67,0.183,37.0,87.6,96.7,-9.09,N,Y
2001,San Antonio Spurs,58,24,0.7070000000000001,—,96.2,88.4,7.92,Y,N
2001,Utah Jazz,53,29,0.6459999999999999,5.0,97.1,92.4,5.0,Y,N
2001,Dallas Mavericks,53,29,0.6459999999999999,5.0,100.5,96.2,4.61,Y,N
2001,Minnesota Timberwolves,47,35,0.573,11.0,97.3,96.0,1.81,Y,N
2001,Houston Rockets,45,37,0.5489999999999999,13.0,97.2,94.9,2.71,N,N
2001,Denver Nuggets,40,42,0.488,18.0,96.6,99.0,-1.83,N,Y
2001,Vancouver Grizzlies,23,59,0.28,35.0,91.7,97.5,-4.94,N,Y
2001,Los Angeles Lakers,56,26,0.6829999999999999,—,100.6,97.2,3.74,Y,N
2001,Sacramento Kings,55,27,0.6709999999999999,1.0,101.7,95.9,6.07,Y,N
2001,Phoenix Suns,51,31,0.622,5.0,94.0,91.8,2.63,Y,N
2001,Portland Trail Blazers,50,32,0.61,6.0,95.4,91.2,4.52,Y,N
2001,Seattle SuperSonics,44,38,0.537,12.0,97.3,97.3,0.55,N,N
2001,Los Angeles Clippers,31,51,0.37799999999999995,25.0,92.5,95.3,-2.23,N,Y
2001,Golden State Warriors,17,65,0.207,39.0,92.5,101.5,-8.11,N,Y
2002,New Jersey Nets,52,30,0.634,—,96.2,92.0,3.67,Y,N
2002,Boston Celtics,49,33,0.598,3.0,96.4,94.1,1.75,Y,N
2002,Orlando Magic,44,38,0.537,8.0,100.5,98.9,1.25,Y,N
2002,Philadelphia 76ers,43,39,0.524,9.0,91.0,89.4,1.27,Y,N
2002,Washington Wizards,37,45,0.451,15.0,92.8,94.2,-1.58,N,Y
2002,Miami Heat,36,46,0.439,16.0,87.2,88.7,-1.84,N,Y
2002,New York Knicks,30,52,0.366,22.0,91.6,95.6,-4.15,N,Y
2002,Detroit Pistons,50,32,0.61,—,94.3,92.2,1.69,Y,N
2002,Charlotte Hornets,44,38,0.537,6.0,93.9,92.9,0.57,Y,N
2002,Toronto Raptors,42,40,0.512,8.0,91.4,91.8,-0.71,Y,N
2002,Indiana Pacers,42,40,0.512,8.0,96.8,96.5,-0.07,Y,N
2002,Milwaukee Bucks,41,41,0.5,9.0,97.5,97.7,-0.62,N,N
